dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente,qt_total_frentes
220677,Keniston Braga,MDB,PA,2,0,0,1,1,2,22
204448,Luiz Antonio Corrêa,PP,RJ,2,0,0,1,1,0,17
92699,Fernando Monteiro,PSD,PE,0,1,0,1,0,2,28
228272,Délio Pinheiro,PDT,MG,0,0,0,0,0,0,1
66828,Fausto Pinato,UNIÃO,SP,13,5,5,6,5,7,245
141485,Luiz Carlos Busato,UNIÃO,RS,5,1,2,5,4,3,93
74383,Giacobo,PSD,PR,8,4,3,4,5,2,168
204410,Luisa Canziani,UNIÃO,PR,11,5,5,4,5,7,225
220591,Meire Serafim,UNIÃO,AC,11,4,4,3,5,3,205
220585,Mersinho Lucena,PSD,PB,6,2,2,0,0,2,103
220613,Roberto Monteiro Pai,PL,RJ,7,4,3,3,2,3,156
162067,Kiko Celeguim,PT,SP,3,1,3,3,1,3,92
220538,Albuquerque,REPUBLICANOS,RR,9,4,5,5,5,6,201
178966,Geovania De Sá,REPUBLICANOS,SC,6,1,2,1,0,1,67
220635,Bruno Ganem,PODE,SP,3,1,0,1,0,1,51
220592,Zezinho Barbary,PP,AC,9,3,5,4,3,3,197
98148,Cobalchini,MDB,SC,10,4,6,6,4,5,169
153423,Renilce Nicodemos,MDB,PA,11,4,5,5,6,8,242
220689,Detinha,PL,MA,4,0,2,0,3,0,55
220623,Duda Salabert,PSOL,MG,3,1,1,1,1,2,77
221338,Professora Luciene Cavalcante,PSOL,SP,4,4,1,1,4,4,131
220690,Capitão Alden,PL,BA,8,2,5,2,2,3,106
220671,Dilvanda Faro,PT,PA,0,0,1,1,0,2,27
226837,Saulo Pedroso,PSD,SP,1,1,0,0,0,2,17
226075,Priscila Costa,PL,CE,0,0,0,0,0,0,5
227323,Luciano Galego,PL,MA,0,0,1,0,0,0,2
226410,Márcio Correa,MDB,GO,0,0,0,0,0,0,2
91228,Waldemar Oliveira,AVANTE,PE,3,0,0,1,0,0,49
220625,Delegada Ione,AVANTE,MG,12,3,6,3,4,6,242
220647,Mauricio Neves,PP,SP,4,3,5,4,3,1,191
220539,Defensor Stélio Dener,UNIÃO,RR,12,4,2,4,4,3,222
221328,Adilson Barroso,PL,SP,3,2,3,3,0,0,101
220587,Gerlen Diniz,PP,AC,2,3,5,3,2,1,93
220612,Bebeto,PP,RJ,9,5,5,5,2,5,188
220706,Padovani,PP,PR,6,2,2,4,1,4,95
123756,Antônia Lúcia,MDB,AC,6,3,2,3,4,2,149
220598,Tarcísio Motta,PSOL,RJ,5,3,2,3,2,4,137
220703,Neto Carletto,AVANTE,BA,3,3,5,3,1,1,121
160548,Jonas Donizette,PSB,SP,2,1,1,2,0,4,91
220567,Jeferson Rodrigues,PSDB,GO,6,2,5,1,3,2,124
204508,Igor Timo,UNIÃO,MG,1,0,0,0,0,0,24
233594,Rafael Fera,PODE,RO,1,0,0,1,0,1,7
220660,Yury Do Paredão,MDB,CE,2,1,2,2,1,0,40
204362,Ricardo Guidi,PL,SC,3,0,0,2,1,1,36
220708,Gabriel Nunes,PSD,BA,2,0,1,1,0,2,33
220622,Nely Aquino,PODE,MG,3,1,0,1,2,1,34
175765,Ribamar Silva,PODE,SP,1,0,0,0,0,0,12
100689,Hildo Do Candango,REPUBLICANOS,GO,0,0,0,0,0,0,1
