dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
220602,Dimas Gadelha,PT,RJ,168,0,0,377
74383,Giacobo,PSD,PR,168,0,0,378
156190,Marcel Van Hattem,NOVO,RS,167,2,0,379
67138,Iracema Portella,PP,PI,167,0,0,380
204435,Jesus Sérgio,PDT,AC,167,0,0,381
220662,Lucas Ramos,PSB,PE,167,0,0,382
204542,Denis Bezerra,PSB,CE,166,0,0,383
204540,Maria Rosas,REPUBLICANOS,SP,166,1,0,384
204567,Raimundo Costa,PSD,BA,166,0,0,385
204552,Eduardo Braide,PODE,MA,165,0,0,386
204441,Otoni De Paula,PSD,RJ,165,0,0,387
220542,Alexandre Guimarães,MDB,TO,165,1,0,388
220702,Geraldo Mendes,UNIÃO,PR,165,1,0,389
220672,Henderson Pinto,UNIÃO,PA,165,0,0,390
204427,Fernando Rodolfo,PL,PE,165,2,0,391
188097,Merlong Solano,PT,PI,165,0,0,392
204362,Ricardo Guidi,PSD,SC,165,0,0,393
204407,Fernanda Melchionna,PSOL,RS,164,3,0,394
204471,Mara Rocha,MDB,AC,163,0,0,395
204387,Sargento Fahur,PSD,PR,163,0,0,396
141417,Edio Lopes,PL,RR,163,0,0,397
160510,Luis Tibé,AVANTE,MG,162,0,0,398
160598,Flávia Morais,PDT,GO,162,2,0,399
220601,Washington Quaquá,PT,RJ,162,2,0,400
220683,Beto Richa,PSDB,PR,161,0,0,401
204422,Ossesio Silva,REPUBLICANOS,PE,161,0,0,402
160619,José Nunes,PSD,BA,161,0,0,403
204464,Talíria Petrone,PSOL,RJ,161,1,0,404
220617,Murillo Gouvea,PSDB,RJ,161,2,0,405
220686,Duarte Jr.,AVANTE,MA,160,1,0,406
137070,Vicentinho Júnior,PP,TO,160,1,0,407
143084,Tiago Dimas,PODE,TO,158,0,0,408
115746,Gelson Azevedo,PL,RJ,158,0,0,409
204536,Kim Kataguiri,UNIÃO,SP,158,0,0,410
220641,Rodrigo Gambale,PODE,SP,158,0,0,411
220704,Carol Dartora,PT,PR,157,0,0,412
204550,Júnior Mano,PSB,CE,157,0,0,413
204527,Geninho Zuliani,UNIÃO,SP,157,2,0,414
