id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_ausencias,pc_ausencia
220674,Dra. Alessandra Haber,MDB,PA,637,1,0.16
73579,Alberto Fraga,PL,DF,1032,0,0.0
204396,Vermelho,PP,PR,264,1,0.38
163321,Ronaldo Nogueira,REPUBLICANOS,RS,687,1,0.15
220695,Rogéria Santos,REPUBLICANOS,BA,892,0,0.0
74095,Pauderney Avelino,UNIÃO,AM,537,1,0.19
220606,Reimont,PT,RJ,959,1,0.1
220631,Samuel Viana,REPUBLICANOS,MG,659,1,0.15
220632,Ana Pimentel,PT,MG,978,0,0.0
74454,Eunício Oliveira,MDB,CE,647,1,0.15
107970,Ana Paula Leão,PP,MG,918,1,0.11
210989,Bruno Farias,AVANTE,MG,839,1,0.12
220683,Beto Richa,PSDB,PR,1025,1,0.1
220715,Amom Mandel,CIDADANIA,AM,730,1,0.14
220537,Helena Lima,MDB,RR,636,0,0.0
92699,Fernando Monteiro,REPUBLICANOS,PE,250,0,0.0
220583,Delegado Fabio Costa,PP,AL,1085,1,0.09
92699,Fernando Monteiro,PSD,PE,103,0,0.0
220560,Thiago De Joaldo,PP,SE,791,1,0.13
224117,Gabriel Mota,REPUBLICANOS,RR,988,1,0.1
230762,Pastor Claudio Mariano,UNIÃO,PA,277,0,0.0
209787,Nikolas Ferreira,PL,MG,1042,1,0.1
74428,Mendonça Filho,UNIÃO,PE,954,1,0.1
220551,Franciane Bayer,REPUBLICANOS,RS,985,1,0.1
73806,Roseana Sarney,MDB,MA,270,0,0.0
220631,Samuel Viana,PL,MG,255,0,0.0
229069,Capitão Samuel,PP,SE,58,0,0.0
230177,Tadeu Oliveira,PL,CE,83,0,0.0
220594,Coronel Assis,PL,MT,24,0,0.0
204427,Fernando Rodolfo,PRD,PE,15,0,0.0
160642,Pastor Eurico,PSDB,PE,12,0,0.0
233592,Paulo Lemos,PT,AP,10,0,0.0
220674,Dra. Alessandra Haber,PODE,PA,7,0,0.0
220651,Simone Marquetto,PP,SP,6,0,0.0
204449,Nelson Barbudo,PODE,MT,2,0,0.0
235620,Ilacir Bicalho,REPUBLICANOS,MG,16,0,0.0
235620,Ilacir Bicalho,PODE,MG,2,0,0.0
178992,Vitor Lippi,PSD,SP,33,0,0.0
220631,Samuel Viana,UNIÃO,MG,10,0,0.0
220537,Helena Lima,PSD,RR,9,0,0.0
210989,Bruno Farias,REPUBLICANOS,MG,11,0,0.0
220715,Amom Mandel,REPUBLICANOS,AM,7,0,0.0
204536,Kim Kataguiri,MISSÃO,SP,44,0,0.0
204489,Robério Monteiro,PSB,CE,14,0,0.0
224117,Gabriel Mota,UNIÃO,RR,15,0,0.0
220560,Thiago De Joaldo,REPUBLICANOS,SE,12,0,0.0
74428,Mendonça Filho,PL,PE,13,0,0.0
162332,Luiz Nishimori,PSD,PR,1030,1,0.1
204522,Marco Bertaiolli,PSD,SP,518,0,0.0
197438,Tito,AVANTE,BA,484,0,0.0
162332,Luiz Nishimori,PL,PR,102,0,0.0
178984,Miguel Haddad,PSDB,SP,75,0,0.0
178966,Geovania De Sá,PSDB,SC,1149,1,0.09
141450,Hugo Leal,PSD,RJ,1131,1,0.09
204574,Junior Lourenço,PL,MA,767,1,0.13
123756,Antônia Lúcia,REPUBLICANOS,AC,833,1,0.12
204369,Caroline De Toni,PL,SC,1444,0,0.0
204381,Luis Miranda,REPUBLICANOS,DF,375,0,0.0
160545,Alexandre Leite,UNIÃO,SP,713,0,0.0
204369,Caroline De Toni,UNIÃO,SC,43,0,0.0
205535,Patricia Ferraz,PODE,AP,68,0,0.0
204369,Caroline De Toni,,SC,53,0,0.0
204381,Luis Miranda,,DF,49,0,0.0
160545,Alexandre Leite,,SP,47,0,0.0
204381,Luis Miranda,UNIÃO,DF,19,0,0.0
205535,Patricia Ferraz,PL,AP,5,0,0.0
204475,Ottaci Nascimento,SOLIDARIEDADE,RR,349,0,0.0
141458,João Carlos Bacelar,PL,BA,890,1,0.11
160542,Márcio Macêdo,PT,SE,233,0,0.0
178866,Luizianne Lins,PT,CE,1265,1,0.08
118594,Marcelo Squassoni,REPUBLICANOS,SP,121,0,0.0
136811,Afonso Hamm,PP,RS,1142,1,0.09
204559,Zé Neto,PT,BA,1177,1,0.08
92346,Eduardo Bolsonaro,PL,SP,727,0,0.0
178910,Joaquim Passarinho,PL,PA,1379,1,0.07
178910,Joaquim Passarinho,PSD,PA,123,0,0.0
204353,Aline Gurgel,REPUBLICANOS,AP,367,0,0.0
92346,Eduardo Bolsonaro,UNIÃO,SP,47,0,0.0
178931,Luciano Ducci,PSB,PR,1313,1,0.08
92346,Eduardo Bolsonaro,,SP,56,0,0.0
178929,Diego Garcia,PODE,PR,67,0,0.0
178908,Delegado Éder Mauro,PL,PA,1106,1,0.09
141408,Cleber Verde,REPUBLICANOS,MA,490,0,0.0
204558,Marcelo Nilo,REPUBLICANOS,BA,315,0,0.0
74283,Vicentinho,PT,SP,1369,1,0.07
204558,Marcelo Nilo,PSB,BA,127,0,0.0
178908,Delegado Éder Mauro,PSD,PA,64,0,0.0
178929,Diego Garcia,REPUBLICANOS,PR,1338,1,0.07
204420,Julian Lemos,UNIÃO,PB,352,0,0.0
74366,João Campos,REPUBLICANOS,GO,375,0,0.0
204388,Bibo Nunes,PL,RS,1434,1,0.07
160598,Flávia Morais,PDT,GO,1199,1,0.08
204420,Julian Lemos,,PB,36,0,0.0
204388,Bibo Nunes,,RS,54,0,0.0
204388,Bibo Nunes,UNIÃO,RS,20,0,0.0
204453,Natália Bonavides,PT,RN,1346,1,0.07
204392,Francisco Jr.,PSD,GO,446,0,0.0
160653,Roberto De Lucena,REPUBLICANOS,SP,301,0,0.0
204359,Léo Moraes,PODE,RO,446,0,0.0
62881,Danilo Forte,UNIÃO,CE,1009,1,0.1
160653,Roberto De Lucena,PODE,SP,107,0,0.0
204554,Abílio Santana,PSC,BA,198,0,0.0
204440,Christino Aureo,PP,RJ,424,0,0.0
160641,Professora Marcivania,PCDOB,AP,744,1,0.13
62881,Danilo Forte,PSDB,CE,87,0,0.0
204554,Abílio Santana,PL,BA,123,0,0.0
204407,Fernanda Melchionna,PSOL,RS,1394,1,0.07
178876,Célio Silveira,PSDB,GO,131,0,0.0
178876,Célio Silveira,MDB,GO,1032,0,0.0
160651,Rogério Peninha Mendonça,MDB,SC,413,0,0.0
115746,Gelson Azevedo,PL,RJ,478,0,0.0
178953,Expedito Netto,PSD,RO,437,0,0.0
178972,Alex Manente,CIDADANIA,SP,705,1,0.14
204460,Carlos Jordy,PL,RJ,1362,1,0.07
141431,Fernando Coelho Filho,UNIÃO,PE,1122,1,0.09
204448,Luiz Antonio Corrêa,PP,RJ,665,1,0.15
74371,Rubens Otoni,PT,GO,1084,1,0.09
204527,Geninho Zuliani,UNIÃO,SP,89,0,0.0
178952,Walter Alves,MDB,RN,262,0,0.0
204460,Carlos Jordy,UNIÃO,RJ,31,0,0.0
141372,Aelton Freitas,PP,MG,256,0,0.0
141372,Aelton Freitas,PL,MG,103,0,0.0
204448,Luiz Antonio Corrêa,PL,RJ,124,0,0.0
204460,Carlos Jordy,,RJ,53,0,0.0
204527,Geninho Zuliani,,SP,24,0,0.0
141431,Fernando Coelho Filho,,PE,34,0,0.0
160645,Luiz Carlos,PSDB,AP,235,0,0.0
178945,Rosangela Gomes,REPUBLICANOS,RJ,365,0,0.0
178916,Daniel Coelho,CIDADANIA,PE,370,0,0.0
178930,Roman,PATRIOTA,PR,82,0,0.0
178930,Roman,PP,PR,41,0,0.0
204534,Tabata Amaral,PSB,SP,1491,0,0.0
160531,Jhonatan De Jesus,REPUBLICANOS,RR,414,0,0.0
178888,Victor Mendes,MDB,MA,171,0,0.0
160592,Zeca Dirceu,PT,PR,1292,1,0.08
73701,Benedita Da Silva,PT,RJ,1118,1,0.09
74848,Jandira Feghali,PCDOB,RJ,1501,1,0.07
204521,Abou Anni,,SP,45,0,0.0
204521,Abou Anni,UNIÃO,SP,375,0,0.0
204438,Sergio Toledo,PL,AL,136,0,0.0
160601,Pr. Marco Feliciano,PL,SP,1444,1,0.07
171617,Paulão,PT,AL,1392,1,0.07
178946,Soraya Santos,PL,RJ,1245,1,0.08
204490,Charlles Evangelista,,MG,47,0,0.0
204490,Charlles Evangelista,PP,MG,264,0,0.0
214477,Rrenato Queiroz,PSD,RR,188,0,0.0
204490,Charlles Evangelista,UNIÃO,MG,80,0,0.0
214477,Rrenato Queiroz,MDB,RR,20,0,0.0
204438,Sergio Toledo,PV,AL,55,0,0.0
220607,Max Lemos,PDT,RJ,985,1,0.1
220663,Eriberto Medeiros,PSB,PE,910,1,0.11
220543,Ricardo Ayres,REPUBLICANOS,TO,1225,1,0.08
66385,Julio Arcoverde,PP,PI,754,1,0.13
220591,Meire Serafim,UNIÃO,AC,895,1,0.11
220690,Capitão Alden,PL,BA,1067,1,0.09
220623,Duda Salabert,PDT,MG,894,1,0.11
220542,Alexandre Guimarães,MDB,TO,537,1,0.19
231911,Lenir De Assis,PT,PR,418,1,0.24
220603,Dani Cunha,UNIÃO,RJ,861,1,0.12
220629,Dandara,PT,MG,779,1,0.13
141408,Cleber Verde,MDB,MA,910,1,0.11
220529,Gilson Daniel,PODE,ES,1100,1,0.09
220641,Rodrigo Gambale,PODE,SP,992,1,0.1
220670,Iza Arruda,MDB,PE,835,1,0.12
220544,Antonio Andrade,REPUBLICANOS,TO,1013,1,0.1
221148,Alfredinho,PT,SP,1039,1,0.1
175765,Ribamar Silva,PSD,SP,400,1,0.25
234788,Heloísa Helena,REDE,RJ,77,0,0.0
220577,Augusto Puppio,MDB,AP,669,0,0.0
220682,Tadeu Veneri,PT,PR,953,1,0.1
233594,Rafael Fera,PODE,RO,240,1,0.42
74858,Lindbergh Farias,PT,RJ,1014,1,0.1
220557,Daniela Reinehr,PL,SC,928,1,0.11
165470,Rodrigo Valadares,UNIÃO,SE,924,1,0.11
220628,Mauricio Do Vôlei,PL,MG,931,1,0.11
220607,Max Lemos,SOLIDARIEDADE,RJ,5,0,0.0
220607,Max Lemos,PROS,RJ,5,0,0.0
220542,Alexandre Guimarães,REPUBLICANOS,TO,262,0,0.0
