id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_documentos,qt_documentos_comprovados,qt_glosas,qt_restituicoes,pc_documentacao
74060,Daniel Almeida,PCDOB,BA,931,542,47,0,58.22
141411,Dagoberto Nogueira,PP,MS,1051,687,146,0,65.37
220623,Duda Salabert,PSOL,MG,1024,570,88,0,55.66
220627,Paulinho Freire,UNIÃO,RN,887,726,85,3,81.85
227401,Dr Fabio Rueda,UNIÃO,AC,52,34,1,0,65.38
204392,Francisco Jr.,PSD,GO,302,276,7,0,91.39
73441,Celso Russomanno,REPUBLICANOS,SP,2240,1484,81,0,66.25
128760,Paulo Marinho Jr,PL,MA,112,43,3,0,38.39
205548,David Miranda,PDT,RJ,159,89,8,0,55.97
220692,Dal Barreto,UNIÃO,BA,544,462,6,0,84.93
160651,Rogério Peninha Mendonça,MDB,SC,391,217,32,0,55.5
178961,Shéridan,PSDB,RR,138,132,7,0,95.65
220596,Amália Barros,PL,MT,843,707,99,0,83.87
73486,Pompeo De Mattos,PDT,RS,3100,2647,305,0,85.39
204500,Eduardo Costa,PSD,PA,211,96,6,0,45.5
69871,Bacelar,PV,BA,914,629,64,0,68.82
204531,Guilherme Derrite,PP,SP,754,586,61,0,77.72
73531,Ivan Valente,PSOL,SP,1569,1230,147,0,78.39
204549,Aj Albuquerque,PP,CE,969,720,35,0,74.3
220534,Fred Linhares,REPUBLICANOS,DF,922,921,8,0,99.89
220564,Yandra Moura,UNIÃO,SE,462,206,5,0,44.59
178927,Aliel Machado,PV,PR,2118,1590,19,0,75.07
220631,Samuel Viana,UNIÃO,MG,2725,2399,63,1,88.04
220632,Ana Pimentel,PT,MG,2216,1985,107,0,89.58
228797,Júlio Oliveira,PP,TO,31,12,2,0,38.71
227370,Felipe Saliba,PRD,MG,244,223,11,0,91.39
204444,Helio Lopes,PL,RJ,1139,775,75,6,68.04
141459,João Maia,PP,RN,1443,1196,4,0,82.88
220579,Silvia Waiãpi,PL,AP,1426,1156,41,0,81.07
220530,Messias Donato,UNIÃO,ES,998,855,55,0,85.67
160561,Missionário José Olimpio,PL,SP,282,271,19,0,96.1
205863,Marcelo Brum,REPUBLICANOS,RS,92,71,3,0,77.17
230765,Enfermeira Rejane,PCDOB,RJ,199,178,8,0,89.45
112437,João Marcelo Souza,MDB,MA,269,213,12,0,79.18
230767,Rodrigo Da Zaeli,PL,MT,830,810,5,0,97.59
219592,Lucas Follador,PSC,RO,38,9,0,0,23.68
233594,Rafael Fera,PODE,RO,411,399,14,0,97.08
220637,Marina Silva,REDE,SP,1,0,0,0,0.0
234388,Fabiano Cazeca,PRD,MG,160,160,4,0,100.0
222565,Soldado Noelio,UNIÃO,CE,48,48,0,0,100.0
141379,Andreia Zito,PSD,RJ,4,0,0,0,0.0
235800,Jorge Araújo,PP,BA,8,8,0,0,100.0
